收盤價_TW	成交量_TW	週轉率_TW	本益比_TW	股價淨值比_TW
7760.63	84653	11.2777	17.55	1.71
7616.28	105324	14.2266	17.22	1.68
8237.78	94408	12.1599	18.65	1.82
8287.09	90551	11.363	15.91	1.91
8372.48	86839	10.4715	16.38	1.92
8972.5	121542	15.0402	16.41	1.96
9145.35	106176	12.8643	16.79	2
8599.65	69519	8.1555	15.76	1.88
8683.3	98685	11.0126	15.77	1.9
9007.87	77896	8.6881	16.36	1.97
8988.84	78517	8.469	16.35	1.96
8652.59	71798	7.5912	16.15	1.8
8644.18	85935	9.1667	16.17	1.8
7741.36	105806	11.9867	14.52	1.61
7225.38	76726	8.8917	13.24	1.49
7587.69	62938	7.2325	15.19	1.65
6904.12	73913	8.3757	13.84	1.52
7072.08	61016	6.8027	16.14	1.54
7517.08	51122	6.0903	17.15	1.64
8121.44	100034	12.0877	18.52	1.78
7933	81366	9.4536	18.11	1.74
7501.72	56684	5.9151	17.08	1.64
7301.5	61430	6.4022	16.42	1.6
7296.28	51506	5.3975	21.76	1.53
7270.49	56429	5.9189	21.68	1.53
7397.06	64027	6.708	22.12	1.56
7715.16	69464	7.5206	22.87	1.63
7166.05	58222	5.7977	23.2	1.58
7580.17	65497	6.1942	24.01	1.68
7699.5	75890	7.5603	23.42	1.65
7850.02	78969	7.8676	23.79	1.69
7897.98	45500	4.7876	23.9	1.7
7918.61	72596	7.1881	24	1.71
8093.66	67493	6.3883	24.59	1.74
8254.8	91310	8.7622	25.09	1.78
8062.21	72913	6.6801	19.47	1.55
8107.94	88902	7.9347	19.64	1.56
8021.89	75747	6.6429	19.45	1.55
8173.87	71592	6.4471	19.82	1.58
8450.06	85556	7.73	18.97	1.68
8406.83	78372	6.7174	19.08	1.67
8611.51	78864	6.6327	17.11	1.65
8462.57	83226	7.2489	16.74	1.62
8639.58	73859	6.1698	18.45	1.67
8849.28	93964	7.6829	18.87	1.71
8791.44	100021	7.4808	18.58	1.71
9075.91	96979	7.0322	19.51	1.76
9393.07	101664	7.6875	17.48	1.66
