"XAU.USD" "USD.EUR" "USD.CNY" "USD.JPY"
"125" 1530.465 0.6738 6.4978 80.87
"126" 1505.14 0.6776 6.494 80.27
"127" 1485.84 0.6894 6.4936 80.44
"128" 1495.55 0.6987 6.493 80.63
"129" 1495.52 0.6984 6.4925 80.63
"130" 1503.41 0.6961 6.494 80.61
"131" 1513.015 0.6968 6.4941 80.56
"132" 1515.39 0.6972 6.4938 80.93
"133" 1497.99 0.7038 6.4971 80.99
"134" 1504.215 0.7035 6.4981 80.77
"135" 1495.04 0.7083 6.4985 80.79
"136" 1494.96 0.7085 6.4972 80.8
"137" 1493.76 0.7076 6.5034 80.85
"138" 1488.67 0.7056 6.5069 81.31
"139" 1492.54 0.7017 6.5049 81.31
"140" 1494.21 0.7007 6.5052 81.74
"141" 1501.11 0.701 6.5002 81.67
"142" 1511.85 0.7064 6.494 81.7
"143" 1511.94 0.7066 6.4942 81.71
"144" 1512.005 0.7115 6.5009 81.81
"145" 1520.4 0.7104 6.5016 81.92
"146" 1525.62 0.7108 6.4955 82
"147" 1524.065 0.7071 6.4922 81.69
"148" 1528.14 0.7028 6.4914 81.04
"149" 1536.43 0.6985 6.4926 80.8
"150" 1536.43 0.6984 6.4912 80.79
"151" 1536.895 0.7002 6.4865 80.86
"152" 1537.215 0.6956 6.4814 81.3
"153" 1535.99 0.694 6.479 81.18
"154" 1538.25 0.6941 6.4813 80.93
"155" 1535.055 0.6885 6.4812 80.59
"156" 1542.08 0.6833 6.4793 80.28
"157" 1542.12 0.6834 6.4795 80.28
"158" 1545.435 0.684 6.4791 80.21
"159" 1544.79 0.6832 6.4802 80.19
"160" 1539.1 0.6831 6.482 79.93
"161" 1538.485 0.686 6.477 80.1
"162" 1539.025 0.6919 6.4802 80.2
"163" 1531.23 0.697 6.4823 80.32
"164" 1531.23 0.6971 6.4823 80.32
"165" 1526.8 0.6963 6.4839 80.35
"166" 1519.795 0.6925 6.4814 80.33
"167" 1524.395 0.6979 6.4812 80.65
"168" 1527.57 0.7066 6.4788 80.79
"169" 1530.555 0.7027 6.4726 80.39
"170" 1539.45 0.699 6.4714 80.05
"171" 1539.45 0.699 6.472 80.06
"172" 1538.905 0.7009 6.4733 80.21
"173" 1543.34 0.6964 6.4711 80.18
"174" 1548.38 0.695 6.4651 80.22
"175" 1536.4 0.7016 6.4666 80.52
"176" 1516.335 0.7028 6.4739 80.41
"177" 1502.6 0.7049 6.4593 80.46
"178" 1502.56 0.7048 6.474 80.45
"179" 1499.105 0.7046 6.4865 80.76
"180" 1500.295 0.6988 6.471 80.88
"181" 1506.53 0.6949 6.4635 80.98
