"AdjClose.priceSS" "AdjClose.priceSZSA"
"261" 2073.48 NA
"262" 2103.47 NA
"263" 2123.9 NA
"264" 2117.41 NA
"265" 2125.3 NA
"266" 2102.06 NA
"267" 2101.14 NA
"268" 2125.61 NA
"269" 2119.14 NA
"270" 2104.75 NA
"271" 2032.44 NA
"272" 2045.89 NA
"273" 2034.58 NA
"274" 2043.11 NA
"275" 2065.61 NA
"276" 2065.61 NA
"277" 2065.61 NA
"278" 2065.61 NA
"279" 2065.61 NA
"280" 2065.61 NA
"281" 2065.61 NA
"282" 2065.61 NA
"283" 2065.61 NA
"284" 2065.61 NA
"285" 2065.61 NA
"286" 2008.03 NA
"287" 1995.31 NA
"288" 1979.94 NA
"289" 1930.14 NA
"290" 1956.97 NA
"291" 1961.22 NA
"292" 1963.53 NA
"293" 1963.2 NA
"294" 1946.48 NA
"295" 1941.96 NA
"296" 1967.55 NA
"297" 1953.22 NA
"298" 1909.33 NA
"299" 1907.26 NA
"300" 1936.35 NA
"301" 1954.69 NA
"302" 1962.04 NA
"303" 1959.18 NA
"304" 1965.12 NA
"305" 1985.11 NA
"306" 1984.2 NA
"307" 1990.06 NA
"308" 1991.18 NA
"309" 2000.9 NA
"310" 2011.66 NA
"311" 2012.55 NA
"312" 1998.7 NA
"313" 2018.62 NA
"314" 2022.6 NA
"315" 2020.24 NA
"316" 2036.62 NA
"317" 2045.79 NA
"318" 2066.39 NA
"319" 2087.53 NA
"320" 2053.54 NA
"321" 2089.88 NA
"322" 2107.26 NA
"323" 2106.87 NA
"324" 2101.66 NA
"325" 2112.77 NA
"326" 2125.08 NA
"327" 2123.05 NA
"328" 2090.72 NA
"329" 2112.6 NA
"330" 2108.61 NA
"331" 2117.37 NA
"332" 2128.48 NA
"333" 2131.4 NA
"334" 2134.8 NA
"335" 2145.4 NA
"336" 2168.06 NA
"337" 2176.68 NA
"338" 2172.56 NA
"339" 2172.87 NA
"340" 2152.33 NA
"341" 2150.43 NA
"342" 2166.17 NA
"343" 2119.18 NA
"344" 2105.06 NA
"345" 2115.11 NA
"346" 2119.18 NA
"347" 2119.18 NA
"348" 2119.18 NA
"349" 2119.18 NA
"350" 2119.18 NA
"351" 2119.18 NA
"352" 2137.99 NA
"353" 2132.89 NA
"354" 2147.28 NA
"355" 2155.41 NA
"356" 2178.47 NA
"357" 2191.06 NA
"358" 2199.5 NA
"359" 2194.65 NA
"360" 2203.37 NA
"361" 2213.59 NA
"362" 2210.34 NA
"363" 2197.59 NA
"364" 2198.3 NA
"365" 2193.58 NA
"366" 2179.7 NA
"367" 2180.28 NA
"368" 2211.2 NA
"369" 2214.26 NA
"370" 2219.59 NA
"371" 2226.78 NA
"372" 2234.99 NA
"373" 2238.5 NA
"374" 2229.81 NA
"375" 2223.07 NA
"376" 2214.62 NA
"377" 2222.96 NA
"378" 2242.42 NA
"379" 2202.4 NA
"380" 2210.97 NA
"381" 2167.65 NA
"382" 2170.45 NA
"383" 2163.12 NA
"384" 2189.15 NA
"385" 2206.07 NA
"386" 2230.2 NA
"387" 2233.59 NA
"388" 2229.83 NA
"389" 2219.25 NA
"390" 2218.03 NA
"391" 2205.99 NA
"392" 2211.83 NA
"393" 2202.06 NA
"394" 2181.66 NA
"395" 2170.52 NA
"396" 2169.66 NA
"397" 2189.78 NA
"398" 2168.74 NA
"399" 2165.49 NA
"400" 2161.34 NA
"401" 2146.24 NA
"402" 2140.98 NA
"403" 2146.54 NA
"404" 2150.26 NA
"405" 2179.62 NA
"406" 2169.01 NA
"407" 2136.45 NA
"408" 2112.26 NA
"409" 2094.01 NA
"410" 2065.73 NA
"411" 1956.82 NA
