收盤價	成交量	週轉率	市值比重 本益比	股價淨值比
33.32	192833	0.9515	9.958	39.52	4.27
31.81	174132	0.8592	9.232	37.72	4.08
32.31	156493	0.7722	9.096	38.32	4.14
32.06	221064	1.0908	8.866	38.02	4.11
32.06	211445	1.0433	8.753	38.02	4.11
33.83	369827	1.8248	8.967	40.12	4.34
31.3	298694	1.4738	8.471	37.13	4.01
31.81	321242	1.5851	8.589	37.72	4.08
29.54	520417	2.5679	8.88	35.03	3.79
30.04	195088	0.9626	8.413	25.54	3.85
30.29	169449	0.8361	8.377	25.75	3.89
30.8	226397	1.1171	8.258	26.18	3.95
32.31	345749	1.706	8.748	27.47	4.14
29.03	303903	1.4995	8.668	18.91	3.72
28.78	273568	1.3498	8.701	18.75	3.69
27.77	259032	1.2781	8.778	18.09	3.56
27.77	285739	1.4099	8.501	18.09	3.56
29.28	188753	0.9313	8.703	19.08	3.76
26.76	178448	0.8805	8.527	17.43	3.1
25.5	222276	1.0968	8.11	16.61	2.95
25.19	393264	1.6823	8.157	16.21	2.89
27.19	203405	0.8701	8.451	17.5	3.12
27.19	219306	0.9381	8.518	17.5	3.12
27.07	165337	0.7073	8.434	17.42	3.1
25.01	250492	1.0716	8.182	16.1	2.87
25.19	267888	1.146	8.397	16.21	2.89
25.24	320571	1.3713	8.343	16.25	2.89
25.89	258019	1.1037	8.586	16.67	2.97
25.77	178648	0.7642	8.559	16.59	2.95
27.3	229292	0.9861	8.653	17.58	3.11
28.25	191032	0.8216	8.673	18.18	3.22
26.13	298773	1.2849	8.061	14.14	2.98
26.24	195588	0.8412	7.94	14.2	2.99
26.36	203941	0.8771	8.014	14.27	3.01
25.72	193929	0.834	7.72	13.92	2.93
26.19	171849	0.7391	7.76	14.17	2.95
25.48	278098	1.196	7.358	13.7	2.87
25.01	180819	0.7777	7.573	13.45	2.81
25.42	166429	0.7158	7.76	13.67	2.86
25.77	213340	0.9175	7.964	13.86	2.9
28.07	524082	2.2539	8.311	12.89	3.16
27.66	251419	1.0813	8.185	12.7	3.11
29.72	430842	1.8529	8.635	13.65	3.34
27.77	222313	0.9561	8.416	12.76	3.13
28.78	269765	1.1602	8.545	13.22	3
28.36	266527	1.1463	8.399	13.03	2.96
29.3	244718	1.0525	8.54	13.46	3.05
29.42	236503	1.0171	8.558	13.51	3.07
29.72	154304	0.6636	8.46	13.65	3.1
28.13	179220	0.7708	8.22	12.92	2.93
27.66	194061	0.8346	8.146	12.7	2.88
27.95	183404	0.7888	8.289	12.84	2.91
29.42	256661	1.1038	8.677	13.51	3.07
31.48	429611	1.8476	9.014	14.46	3.28
31.78	342020	1.4709	8.974	14.59	3.31
32.36	228953	0.9847	8.997	14.86	3.37
30.89	215056	0.9249	8.601	14.19	3.22
30.89	166097	0.7143	8.586	14.19	3.22
29.95	186763	0.8032	8.542	13.76	3.12
30.31	184045	0.7915	8.61	13.92	3.16
30.95	152315	0.655	8.826	14.22	3.22
30.78	126006	0.5419	8.782	14.14	3.21
30.19	146003	0.6279	8.81	13.86	3.15
29.19	242449	1.0427	8.721	13.41	3.04
30.54	198860	0.8552	9.017	13.07	3.18
