T收盤價	T成交量	T週轉率	T本益比	T股價淨值比
5136.13	3146000	0.8528	18.71	1.47
5295.53	3661000	0.9962	19.29	1.52
5188.51	3866000	1.052	18.99	1.49
5376.12	3466000	0.9433	19.7	1.55
5436.78	3987000	1.0889	19.92	1.57
5369.24	4067000	1.1089	19.64	1.54
5339.4	2835000	0.7677	19.55	1.54
5379.66	1997000	0.5401	19.74	1.55
5662.94	3888000	1.0542	20.78	1.63
5769.95	4607000	1.2431	21.22	1.67
5847.91	4926000	1.3411	21.49	1.69
5680.06	3862000	1.0491	20.94	1.65
5792.5	3373000	0.9191	21.47	1.68
5936.2	4499000	1.2275	22.03	1.73
5897.93	3833000	1.048	21.81	1.72
6049.26	4652000	1.2698	22.33	1.76
5932.42	4155000	1.1339	21.88	1.73
5849.06	4342000	1.1821	21.53	1.7
5693.58	2749000	0.7475	20.97	1.65
5758.6	2644000	0.7213	21.21	1.67
5809.84	3450000	0.9437	21.42	1.69
5847.07	2896000	0.7873	21.58	1.7
6027.49	3871000	1.055	22.29	1.76
5887.68	4539000	1.2356	21.75	1.72
6104.24	3862000	1.0503	22.48	1.78
6045.67	4487000	1.2255	22.23	1.76
5937.3	2941000	0.802	21.87	1.73
5971.29	3402000	0.9277	21.98	1.74
5949.96	2954000	0.8064	21.93	1.74
5759.04	2663000	0.7248	21.22	1.68
5726.93	2428000	0.6635	21.14	1.68
5716.02	2466000	0.6718	21.14	1.68
5674.69	2678000	0.731	21.01	1.67
5499.86	2367000	0.6404	20.53	1.62
5499.54	1996000	0.5437	20.48	1.61
5609.74	1855000	0.5058	20.91	1.65
5635.06	2788000	0.7588	21.01	1.66
5777.13	2890000	0.7889	21.53	1.7
5711.02	2571000	0.7012	21.31	1.68
5680.43	1931000	0.5275	21.18	1.67
5582.67	2002000	0.546	20.82	1.64
5610.4	2774000	0.7582	20.95	1.65
5658.21	2583000	0.706	21.14	1.67
5742.74	3180000	0.8678	21.46	1.69
5783.93	3977000	1.0839	21.59	1.7
5641.89	2350000	0.6412	21.07	1.66
5642.7	2053000	0.5611	21.06	1.66
5623.42	2302000	0.6279	21.01	1.66
5730.95	3182000	0.8696	21.44	1.69
5800.55	3933000	1.0742	21.69	1.71
5896.32	3832000	1.0452	22.03	1.74
5884.33	4179000	1.1411	22	1.73
5819.39	3105000	0.8452	21.76	1.72
5833.88	2406000	0.6568	21.8	1.72
5797.92	2931000	0.8004	21.57	1.71
5607.73	2208000	0.6001	20.85	1.65
5446.82	1923000	0.5234	20.26	1.6
5405.85	1974000	0.5385	20.09	1.59
5515.13	2309000	0.63	20.53	1.63
5401.83	1641000	0.4475	20.12	1.59
5353.5	2102000	0.5708	19.85	1.57
5467.75	2172000	0.5818	20.21	1.6
5533.22	2426000	0.6611	20.46	1.62
5495.47	2579000	0.7038	20.35	1.61
5432.28	1385000	0.3762	20.08	1.59
5431.95	1201000	0.3267	20.09	1.59
5508.61	1916000	0.522	20.34	1.61
5608.5	3061000	0.8348	20.75	1.65
5596.63	2189000	0.597	20.72	1.64
5597.7	1592000	0.4335	20.72	1.64
5589.34	2052000	0.5579	20.64	1.64
5516.2	1734000	0.4664	20.39	1.62
5518.73	1818000	0.4921	20.4	1.62
5416.67	1397000	0.3791	20	1.59
5381.67	1516000	0.4084	19.85	1.57
5304.24	2007000	0.5451	19.69	1.55
5405.54	1714000	0.4631	20.06	1.58
5244.05	1902000	0.5153	19.4	1.53
5229.93	1433000	0.3881	19.4	1.53
5176.71	1620000	0.4398	18.97	1.51
5232.64	1557000	0.4233	19.17	1.53
5122.17	1290000	0.3492	18.76	1.5
5232.72	2162000	0.5867	19.18	1.53
