"XAU.TWD" "USD.TWD" "CNY.TWD" "CHF.TWD"
"364" 46822.65 30.2849 4.758 32.1094
"365" 47283.35 30.2823 4.7625 32.2241
"366" 47372.7 30.2702 4.7642 32.2695
"367" 47317.25 30.2335 4.7588 32.2265
"368" 47418.25 30.298 4.7712 32.2408
"369" 48087.5 30.2936 4.785 32.3585
"370" 48576.85 30.277 4.7925 32.3267
"371" 48856.65 30.2665 4.7881 31.9746
"372" 49014.3 30.2281 4.7784 31.6989
"373" 49028.15 30.3099 4.7916 31.7327
"374" 49218.85 30.4265 4.8104 31.8417
"375" 48803.7 30.2341 4.7814 31.6897
"376" 48818.35 30.0568 4.7621 31.6813
"377" 49192.5 30.0253 4.7562 31.5312
"378" 49461.1 30.0119 4.7523 31.5888
"379" 49187.7 29.9665 4.7487 31.6418
"380" 49300.3 30.0701 4.7639 31.5821
"381" 49549.3 30.221 4.7881 31.7297
"382" 49317.75 30.0471 4.7591 31.4802
"383" 49662.25 29.9864 4.7547 31.5523
"384" 49551 29.9667 4.757 31.7035
"385" 49710.05 29.9382 4.7535 31.9333
"386" 49583.65 29.942 4.7505 32.0733
"387" 49841.35 29.9065 4.7433 32.002
"388" 49756.7 29.8555 4.7354 31.935
"389" 50021.2 29.9246 4.747 32.0855
"390" 50099.5 29.9695 4.756 32.2948
"391" 49939.25 29.9402 4.7524 32.2373
"392" 51286.95 29.8952 4.7504 32.4947
"393" 51503.65 29.8805 4.7507 32.5072
"394" 51639.05 29.6994 4.7232 32.5379
"395" 51653.8 29.7075 4.7247 32.5465
"396" 51503.7 29.7683 4.7285 32.4769
"397" 51502.05 29.6548 4.7092 32.3625
"398" 51578.5 29.6124 4.7037 32.2468
"399" 51640.5 29.5175 4.691 32.2208
"400" 51767.85 29.546 4.6943 32.1985
"401" 50898.45 29.4856 4.6859 32.1131
"402" 50906.75 29.49 4.6866 32.1068
"403" 51039.7 29.5816 4.699 32.0944
"404" 51067.55 29.5835 4.6987 32.2278
"405" 51445.8 29.5103 4.6916 32.3407
"406" 51155.75 29.4778 4.6868 32.3241
"407" 50907.2 29.5286 4.6937 32.2989
"408" 50937.75 29.58 4.7013 32.2704
"409" 50963 29.5934 4.7036 32.2878
"410" 50948.35 29.5186 4.6913 32.3071
"411" 50815 29.5649 4.6961 32.203
"412" 50980.3 29.5325 4.6899 32.1077
"413" 50930.65 29.5824 4.6953 31.9623
"414" 51116.5 29.561 4.6942 32.1752
"415" 50937.45 29.5569 4.6946 32.1306
"416" 50960.7 29.5696 4.6965 32.1556
"417" 51210.3 29.5451 4.6941 32.3392
"418" 51499.3 29.5622 4.695 32.4226
"419" 51988.75 29.5686 4.695 32.4216
"420" 52592.7 29.5852 4.6969 32.6009
"421" 52566.7 29.5649 4.6946 32.8784
"422" 52406.55 29.5674 4.6953 32.9975
"423" 52374.85 29.55 4.6925 32.9787
"424" 52439.15 29.5876 4.696 32.9727
"425" 52516.85 29.5771 4.6945 32.9629
"426" 52104.75 29.4286 4.6742 32.8085
"427" 50442.85 29.414 4.6693 32.5187
"428" 50503.8 29.4324 4.6733 32.3573
"429" 50485.85 29.4799 4.6808 32.2505
"430" 50457.65 29.4646 4.6783 32.231
"431" 50345.2 29.4946 4.6775 32.2922
"432" 49954.5 29.538 4.678 32.2682
"433" 49577.5 29.5455 4.6763 32.1939
"434" 49929.05 29.5016 4.6704 32.3093
"435" 50180.75 29.4766 4.6692 32.2918
"436" 50440.3 29.43 4.663 32.0317
"437" 50440.9 29.43 4.663 32.0289
"438" 50292 29.5006 4.6656 32.093
"439" 50058.2 29.5106 4.661 32.1326
"440" 49066.1 29.5285 4.6562 31.8626
"441" 48680.65 29.5446 4.6627 31.8521
"442" 48913.75 29.5308 4.668 32.0692
"443" 48973.25 29.5014 4.6652 32.2173
"444" 49020.55 29.53 4.6696 32.2476
"445" 49026 29.5234 4.6709 32.263
"446" 48877.05 29.5428 4.671 32.3891
