Date,Open,High,Low,Close,Volume,Adj Close
2009-06-01,9517.49,10170.82,9491.26,9958.44,179000,9958.44
2009-05-01,8848.84,9522.50,8827.13,9522.50,176800,9522.50
2009-04-01,8173.36,9068.80,8084.62,8828.26,189100,8828.26
2009-03-02,7454.28,8843.18,7021.28,8109.53,169300,8109.53
2009-02-02,7908.51,8257.71,7155.16,7568.42,155200,7568.42
2009-01-05,8991.21,9325.35,7671.04,7994.05,147500,7994.05
2008-12-01,8464.36,8859.56,7849.84,8859.56,127800,8859.56
2008-11-04,8702.77,9521.24,7406.18,8512.27,166400,8512.27
2008-10-01,11396.61,11456.64,6994.90,8576.98,203300,8576.98
2008-09-01,12936.81,12940.55,11160.83,11259.86,153500,11259.86
2008-08-01,13276.57,13468.81,12631.94,13072.87,122100,13072.87
2008-07-01,13514.86,13603.31,12671.34,13376.81,127000,13376.81
2008-06-02,14342.96,14601.27,13453.35,13481.38,133000,13481.38
2008-05-01,13802.59,14392.53,13540.68,14338.54,143300,14338.54
2008-04-01,12539.80,14003.28,12521.84,13849.99,129300,13849.99
2008-03-03,13412.87,13413.63,11691.00,12525.54,147200,12525.54
2008-02-01,13517.74,14105.47,12923.42,13603.02,152100,13603.02
2008-01-04,15155.73,15156.66,12572.68,13592.47,172500,13592.47
2007-12-03,15747.47,16107.65,14998.01,15307.78,125900,15307.78
2007-11-01,16812.90,16887.04,14669.85,15680.67,155300,15680.67
2007-10-01,16773.10,17488.97,16199.02,16737.63,126200,16737.63
2007-09-03,16511.07,16929.26,15610.65,16785.69,121100,16785.69
2007-08-01,17169.20,17274.33,15262.10,16569.09,144200,16569.09
2007-07-02,18139.04,18295.27,17042.66,17248.89,132400,17248.89
2007-06-01,17949.92,18297.00,17591.93,18138.36,134800,18138.36
2007-05-01,17396.30,17875.75,17203.03,17875.75,137700,17875.75
2007-04-02,17346.25,17782.08,16999.05,17400.41,137500,17400.41
2007-03-01,17542.23,17558.04,16532.91,17287.65,167400,17287.65
2007-02-01,17377.03,18300.39,17199.66,17604.12,184500,17604.12
2007-01-04,17322.50,17617.64,16758.46,17383.42,148100,17383.42
2006-12-01,16313.02,17301.69,16185.92,17225.83,116200,17225.83
2006-11-01,16338.72,16512.51,15615.56,16274.33,113100,16274.33
2006-10-02,16169.00,16901.53,16028.32,16399.39,110000,16399.39
2006-09-01,16072.81,16414.94,15513.87,16127.58,107300,16127.58
2006-08-01,15387.52,16244.84,15154.06,16140.76,103900,16140.76
2006-07-03,15573.35,15710.39,14437.24,15456.81,109700,15456.81
2006-06-01,15603.25,15789.31,14045.53,15505.18,119700,15505.18
2006-05-01,16929.83,17375.25,15442.53,15467.33,122600,15467.33
2006-04-03,17127.61,17563.37,16750.50,16906.23,112900,16906.23
2006-03-01,16026.82,17125.64,15553.14,17059.66,113100,17059.66
2006-02-01,16594.90,16777.37,15389.58,16205.43,146000,16205.43
2006-01-04,16294.65,16754.60,15059.52,16649.82,148600,16649.82
2005-12-01,14914.75,16445.56,14880.18,16111.43,156900,16111.43
2005-11-01,13718.21,15013.24,13706.33,14872.15,180800,14872.15
2005-10-03,13566.20,13783.60,12996.29,13606.50,173100,13606.50
2005-09-01,12501.43,13678.44,12498.40,13574.30,173500,13574.30
2005-08-01,11907.42,12612.16,11614.71,12413.60,105700,12413.60
2005-07-01,11573.37,11913.50,11540.93,11899.60,75800,11899.60
2005-06-01,11220.94,11594.57,11148.36,11584.01,70600,11584.01
2005-05-02,10954.21,11302.52,10788.59,11276.59,80300,11276.59
2005-04-01,11590.45,11911.90,10770.58,11008.90,89000,11008.90
2005-03-01,11734.14,11975.46,11506.85,11668.95,95600,11668.95
2005-02-01,11422.02,11754.90,11271.04,11740.60,92500,11740.60
2005-01-04,11458.27,11580.69,11212.63,11387.59,89600,11387.59
2004-12-01,10790.45,11500.95,10721.59,11488.76,69900,11488.76
