TSMC	TWI
3.08	4805.09
3.08	4809.51
2.95	4711.43
2.8	4692.4
2.91	4751.08
3.08	4851.65
3.13	4936.31
3.15	4940.85
3.17	4941.42
3.26	4950.32
3.34	5040.52
3.41	5042.28
3.37	5066.55
3.32	5067.51
3.32	5092.92
3.28	5043.11
3.26	5032.35
3.28	5127.49
3.32	5175.75
3.52	5377.19
3.61	5581.13
3.54	5599.8
3.63	5589.72
3.69	5768.03
3.58	5712.5
3.61	5945.06
3.84	6070.63
3.82	6122.46
3.82	5938.22
4.02	6087.98
4.19	5942.8
4.08	5945.67
4	5927.52
4.06	6052.85
4.28	5907.01
4.24	5986.81
4.17	5970.15
4.21	6051.21
4.32	6115.92
4.54	6182.7
4.47	6134.28
4.43	6114.14
4.47	6081.71
4.54	6131.45
4.83	6141.84
5.15	6086.37
5.23	6025.19
5.19	6019.87
5.03	5965.02
4.99	6035.21
4.99	6145.77
5.11	6127.19
5.11	6155.83
5.03	6095.41
5.03	6096.93
4.91	6022.72
4.87	6021.18
4.67	5774.89
4.67	5729.48
4.67	5732.99
4.71	5790.76
4.75	5934.81
4.79	5909.41
4.75	5898.45
4.63	5859.54
4.55	5876.43
4.51	5892.92
4.51	5966.82
4.51	5983.39
4.47	5973.49
4.43	5921.92
4.39	5951.86
4.43	6019.05
4.43	6096.54
4.59	6109.22
4.55	6073.09
4.51	6125.79
4.63	6301.82
4.91	6376.1
5.03	6314.74
5.07	6412.4
5.03	6423.11
4.83	6323.76
4.75	6380.07
4.59	6355.66
4.71	6401.35
4.63	6431.25
4.59	6384.07
4.67	6380.87
4.79	6537.2
4.59	6507.05
4.63	6560.41
4.55	6497.83
4.55	6435.41
4.47	6428.4
4.47	6441.02
4.43	6380.75
4.23	6327.46
4.15	6328.23
4.19	6225.59
4.31	6247.19
4.23	6226.26
4.23	6116.88
4.23	6062.52
3.99	5955.5
3.99	6102.73
3.99	6122.2
4.11	6192.28
4.07	6210.61
4.03	6159.08
4.03	6086.16
4.07	6095.74
3.99	6034.07
4.03	6053.7
4.15	6173.95
4.07	6123.05
4.03	6106.97
4.11	6160.99
4.07	6106.87
4.07	6083.66
4.11	6266.98
4.19	6261.46
4.35	6341.93
4.31	6315.66
4.23	6314.88
4.27	6317.62
4.23	6325.16
4.19	6373.93
4.23	6284.93
4.31	6249.61
4.27	6228.62
4.15	6047.51
4.19	6057.44
4.27	6177.78
4.23	6160.82
4.23	6200.22
4.19	6190.56
4.15	6200.48
4.19	6232.53
4.23	6256.76
4.31	6312.43
4.43	6309.82
4.39	6324.6
4.43	6342.17
4.47	6257.97
4.47	6228.78
4.51	6304.96
4.43	6290.23
4.43	6371.97
4.43	6435.43
4.35	6415.76
4.27	6455.44
4.19	6425.68
4.23	6471.63
4.19	6464.55
4.27	6518.46
4.27	6478.44
4.31	6499.02
4.31	6535.59
4.27	6499.52
4.23	6490.09
4.23	6453.98
4.23	6477.85
4.27	6438.52
4.35	6508.17
4.27	6504.68
4.27	6513.73
4.27	6538.24
4.27	6611.58
4.27	6616.21
4.31	6644.66
4.31	6620.42
4.27	6584.91
4.27	6587.86
4.31	6578.36
4.31	6625.44
4.35	6626.41
4.31	6616.38
4.27	6551.26
4.27	6494.34
4.27	6475.42
4.23	6431.95
4.23	6441.15
4.23	6426.3
4.27	6437.06
4.23	6458.91
4.19	6424.72
4.15	6359.67
4.23	6426.09
4.39	6455.11
4.39	6562.94
4.59	6622.61
4.59	6604.14
4.59	6653.65
4.51	6629.68
4.43	6581.96
4.43	6583.08
4.39	6571.12
4.55	6577.29
4.51	6601.63
4.43	6587.44
4.47	6596.1
4.47	6659.72
4.55	6687.88
4.55	6729.36
4.51	6692.49
4.63	6761.39
4.79	6842.16
4.79	6938.87
4.83	6927.77
4.87	6932.96
4.75	6876.41
4.63	6765.93
4.67	6826.06
4.75	6982.81
4.71	6936.39
4.63	6943.64
4.59	6919.49
4.51	6806.81
4.47	6779.61
4.47	6808.83
4.55	6841.03
4.55	6802.74
4.59	6825.62
4.55	6825.1
4.59	6889.19
4.55	6891.42
4.55	6855.57
4.51	6896.52
4.59	6859.4
4.51	6890.66
4.51	6900.49
4.51	6932
4.51	6935.72
4.51	6889.03
4.51	6863.02
4.55	6903.9
4.51	6926.27
4.51	6933.94
