TWIW	NASDAQW
9007.87	2873.54
8977.23	2827.56
9006.61	2828.47
8837.03	2803.32
8810	2796.86
9046.28	2732.78
8837.82	2643.73
8636.1	2616.48
8532.83	2652.89
8739.82	2816.03
8749.55	2859.81
8574.91	2789.8
8765.32	2858.83
8644.18	2756.38
7853.13	2532.41
7637.02	2507.98
7342.96	2341.84
7445.1	2479.85
7757.06	2480.33
7610.57	2467.99
7577.4	2622.31
7046.22	2483.23
7225.38	2415.4
7211.96	2479.35
7358.08	2667.85
7254.51	2637.46
7616.06	2737.15
7603.23	2686.15
7367.29	2678.75
7233.78	2572.5
6784.52	2441.51
7140.68	2626.93
6893.3	2646.85
6785.09	2555.33
7110.73	2618.64
7072.08	2605.15
7120.51	2674.22
7181.54	2710.67
7233.69	2786.7
7674.99	2816.55
7862.27	2903.88
7894.36	2951.78
7959.34	2963.75
8144.04	2976.19
8016.01	2988.34
8054.94	3055.26
8076.61	3067.92
7933	3091.57
7706.26	3080.5
7788.27	3011.33
7507.15	3000.45
7480.5	3069.2
7700.95	2956.34
7401.37	2933.82
7151.19	2778.79
7071.63	2837.53
7106.09	2747.48
6999.65	2858.42
7155.83	2872.8
7222.05	2892.42
7296.28	2935.05
7368.59	2937.33
7104.27	2908.47
7164.68	2925.3
7124.49	2958.09
7217.51	2967.9
7441.12	3020.86
7467.92	3076.59
7477.53	3069.79
7397.06	3066.96
7424.91	3136.42
7738.05	3183.95
7754.59	3179.96
7715.16	3116.23
7690.65	3136.19
7437.04	3044.11
7408.76	3005.62
7134.06	2987.95
7210.47	2982.13
7293.22	2904.87
7130.07	2853.13
7326.01	2966.85
7580.17	3010.24
7642.26	2978.04
7698.77	2971.33
7519.93	3021.01
7699.5	2960.31
7805.99	3101.66
7819.15	3125.63
7732.87	3134.71
7672.58	3149.71
7855.97	3179.1
7906.65	3193.87
7947.72	3161.82
7964.63	3169.74
8015.14	3244.37
7927.49	3249.07
7796.22	3245
7918.61	3267.52
7942.35	3203.86
7821.63	3294.95
7930.8	3206.06
8022.06	3279.26
8135.03	3378.63
8280.26	3436.58
8368.19	3498.97
8209.78	3459.14
8254.8	3455.91
8095.2	3469.22
7937.74	3423.56
7793.31	3357.25
8062.21	3403.25
8001.82	3479.38
8220.49	3600.08
8062.03	3587.61
8149.4	3613.16
8099.88	3689.59
7856.14	3660.11
7925	3602.78
7873.31	3657.79
8021.89	3589.87
8164.2	3660.01
8168.2	3722.18
8209.18	3774.73
8230.68	3781.59
8364.55	3807.75
8349.37	3791.87
8441.19	3914.28
8346.62	3943.36
8388.18	3922.04
8229.59	3919.23
8177.12	3985.97
8116.78	3991.65
8406.83	4059.89
8367.72	4062.52
8376.94	4000.98
8408.53	4104.74
8535.04	4156.59
8546.54	4131.91
8529.35	4174.67
8596	4197.58
8598.31	4128.17
8387.35	4103.88
8513.68	4244.02
8601.86	4263.41
8639.58	4308.12
8713.96	4336.22
8687.63	4245.4
8577.17	4276.79
8774.64	4155.76
8888.54	4127.73
8908.05	3999.73
8966.66	4095.52
8774.12	4075.56
8867.32	4123.9
8889.69	4071.87
8888.45	4090.59
9008.22	4185.81
9075.91	4242.62
9134.46	4321.4
9196.39	4310.65
9273.79	4368.04
9306.83	4397.93
9510.05	4485.93
9495.84	4415.49
9400.97	4432.15
9439.29	4449.56
9266.51	4352.64
9085.96	4370.9
9206.81	4464.93
9380.1	4538.55
9436.27	4580.27
